Тексты	Вхождения	ipm	Фрагмент
10	10	0.03	в ужасе кинулся
7	7	0.02	с ревом кинулся
7	7	0.02	с визгом кинулись
7	7	0.02	с криком кинулась
6	6	0.02	на ноги кинулся
5	5	0.01	в руках кинулся
5	5	0.01	с места кинулся
5	5	0.01	с воплем кинулся
5	5	0.01	с лаем кинулся
4	5	0.01	в воду кинуться
4	5	0.01	с воплем кинулась
4	4	0.01	в панике кинулись
4	4	0.01	с разбегу кинулся
4	4	0.01	с лаем кинулась
4	4	0.01	в сторону кинулся
4	4	0.01	с ножом кинулся
4	4	0.01	без оглядки кинулся
4	4	0.01	с криком кинулись
4	4	0.01	с остервенением кинулся
4	4	0.01	на город кинулась
3	4	0.01	в ужасе кинулись
3	3	0.01	от стыда кинулся
3	3	0.01	в голову кинулась
3	3	0.01	с радостью кинулся
3	3	0.01	на крыльцо кинулся
3	3	0.01	с ревом кинулась
3	3	0.01	в ноги кинулся
3	3	0.01	в волгу кинусь
3	3	0.01	в нос кинется
3	3	0.01	к кому кинуться
3	3	0.01	в руках кинулись
3	3	0.01	на шею кинулась
3	3	0.01	с коня кинулся
3	3	0.01	на шею кинулся
3	3	0.01	с криком кинулся
3	3	0.01	с лаем кинулись
3	3	0.01	в ярости кинулся
3	3	0.01	в воду кинулся
3	3	0.01	со слезами кинулась
3	3	0.01	с визгом кинулся
3	3	0.01	с воем кинулся
3	3	0.01	от радости кинулся
3	3	0.01	с плачем кинулась
3	3	0.01	с воплями кинулись
3	3	0.01	с порога кинулась
2	2	0.01	на улице кинулись
2	2	0.01	с жадностью кинулась
2	2	0.01	из-за стола кинулся
2	2	0.01	на ноги кинулась
2	2	0.01	с досадой кинулся
2	2	0.01	с крыльца кинулся
2	2	0.01	от бешенства кинулся
2	2	0.01	в бега кинуться
2	2	0.01	в ужасе кинулась
2	2	0.01	с хохотом кинулась
2	2	0.01	на глазах кинулась
2	2	0.01	с размаху кинулась
2	2	0.01	от радости кинулась
2	2	0.01	к воротам кинулись
2	2	0.01	в отчаянье кинулась
2	2	0.01	на свете кинулся
2	2	0.01	в отчаянии кинулся
2	2	0.01	из дома кинуться
2	2	0.01	без памяти кинулась
2	2	0.01	с мест кинулись
2	2	0.01	с воплями кинулось
2	2	0.01	с азартом кинулись
2	2	0.01	в толпу кинулся
2	2	0.01	на землю кинулся
2	2	0.01	в глаза кинулись
2	2	0.01	со слезами кинулся
2	2	0.01	в окно кинулась
2	2	0.01	к отцу кинуться
2	2	0.01	в испуге кинулась
2	2	0.01	с никой кинулись
2	2	0.01	с ног кинулась
2	2	0.01	с головой кинулся
2	2	0.01	в глаза кинулось
2	2	0.01	на дыбы кинулась
2	2	0.01	с ножом кинется
2	2	0.01	в голову кинулось
2	2	0.01	с визгом кинулась
2	2	0.01	с ожесточением кинулись
2	2	0.01	с рыданиями кинулась
2	2	0.01	в глазах кинулся
2	2	0.01	по страсти кинулись
2	2	0.01	в восторге кинулся
2	2	0.01	за голову кинулась
2	2	0.01	на решетку кинулся
2	2	0.01	с остервенением кинулись
2	2	0.01	с восторгом кинулся
2	2	0.01	в ботиках кинулась
2	2	0.01	на берегу кинулись
2	2	0.01	с порога кинулся
1	2	0.01	с шуркой кинулись
64	65	0.17	кинулся к двери
38	38	0.1	кинулся к окну
29	35	0.09	кинулась на шею
28	28	0.07	кинулся в воду
26	26	0.07	кинулся в сторону
24	26	0.07	кинулся к дверям
23	23	0.06	кинулся к выходу
23	23	0.06	кинулся к телефону
22	22	0.06	кинулась к двери
18	18	0.05	кинулась в сторону
17	17	0.05	кинулось в глаза
17	17	0.05	кинулся к столу
16	16	0.04	кинулся на помощь
15	15	0.04	кинулся в дом
15	15	0.04	кинулась в глаза
15	15	0.04	кинулся на шею
14	17	0.05	кинулась к телефону
13	14	0.04	кинулась к дверям
13	13	0.03	кинулись к окнам
13	13	0.03	кинулся в сени
12	13	0.03	кинулись в атаку
12	12	0.03	кинулась к окну
12	12	0.03	кинулся на улицу
12	12	0.03	кинулись в воду
12	12	0.03	кинуться в воду
11	11	0.03	кинулись в сторону
11	11	0.03	кинулся в реку
11	11	0.03	кинулся в угол
11	11	0.03	кинулся к матери
11	11	0.03	кинулся в толпу
10	12	0.03	кинулся в глаза
10	10	0.03	кинулся в спальню
10	10	0.03	кинулись в объятия
9	10	0.03	кинулся из комнаты
9	10	0.03	кинулась в объятия
9	9	0.02	кинуться на шею
9	9	0.02	кинулись к выходу
9	9	0.02	кинулась в комнату
9	9	0.02	кинулись к дверям
9	9	0.02	кинулась в голову
9	9	0.02	кинулся на колени
9	9	0.02	кинулась к выходу
9	9	0.02	кинулась в дом
9	9	0.02	кинулись на помощь
9	9	0.02	кинулся в комнату
8	8	0.02	кинулась на улицу
8	8	0.02	кинулся в прихожую
8	8	0.02	кинулся во двор
8	8	0.02	кинулся на кухню
8	8	0.02	кинулась в ванную
8	8	0.02	кинулся в атаку
8	8	0.02	кинулся в объятия
8	8	0.02	кинулись в глаза
7	8	0.02	кинулись в погоню
7	8	0.02	кинулся в море
7	8	0.02	кинулась на грудь
7	8	0.02	кинулся в переднюю
7	7	0.02	кинулся на землю
7	7	0.02	кинулась к мужу
7	7	0.02	кинулся в ноги
7	7	0.02	кинулся к шкафу
7	7	0.02	кинулась на колени
7	7	0.02	кинулся в кухню
7	7	0.02	кинулся в кусты
7	7	0.02	кинуться в объятия
7	7	0.02	кинулась к зеркалу
7	7	0.02	кинуться в сторону
7	7	0.02	кинулся в бой
6	7	0.02	кинулась в прихожую
6	7	0.02	кинулись к окну
6	6	0.02	кинулась в воду
6	6	0.02	кинулся на обидчика
6	6	0.02	кинулся к отцу
6	6	0.02	кинулась к отцу
6	6	0.02	кинулась в кухню
6	6	0.02	кинулся с кулаками
6	6	0.02	кинулся с ножом
6	6	0.02	кинулась в спальню
6	6	0.02	кинулись в двери
5	7	0.02	кинуться в бой
5	6	0.02	кинулся к лестнице
5	5	0.01	кинулся в темноту
5	5	0.01	кинулся на выручку
5	5	0.01	кинулся в дверь
5	5	0.01	кинулся на пол
5	5	0.01	кинулась к сыну
5	5	0.01	кинулся на диван
5	5	0.01	кинулись в дом
5	5	0.01	кинулся в кабинет
5	5	0.01	кинулся в избу
4	6	0.02	кинулись в кремль
4	5	0.01	кинулся в драку
