Тексты	Вхождения	ipm	Фрагмент
4	4	0.01	 метнулась
3	5	0.01	в сторону метнулся
3	3	0.01	с криком метнулась
3	3	0.01	в ужасе метнулся
2	3	0.01	с криком метнулись
2	2	0.01	с храпом метнулось
2	2	0.01	 метнулся
2	2	0.01	в панике метнулись
2	2	0.01	к окну метнулся
2	2	0.01	в панике метнулся
2	2	0.01	из-под бревна метнулась
2	2	0.01	в глазах метнулся
2	2	0.01	на четвереньках метнулся
2	2	0.01	по команде метнулись
2	2	0.01	в панике метнулась
2	2	0.01	с визгом метнулась
2	2	0.01	с воем метнулся
2	2	0.01	с воплем метнулась
1	1	0	в окне метнулась
1	1	0	в отчаянии метнулся
1	1	0	в передней метнулся
1	1	0	в плечи метнулся
1	1	0	в погоню метнулся
1	1	0	в реку метнулось
1	1	0	в рост метнулся
1	1	0	в руке метнулся
1	1	0	в священника метнется
1	1	0	в сети метнуться
1	1	0	в стороне метнулась
1	1	0	в страхе метнулся
1	1	0	в суд метнется
1	1	0	в тоске метнулась
1	1	0	в угол метнулся
1	1	0	в удивлении метнулись
1	1	0	в шевиоте метнулся
1	1	0	вместо маскхалата метнулась
1	1	0	во двор метнулась
1	1	0	во дворе метнулись
1	1	0	вперед лучи метнулись
1	1	0	вперед пес метнулся
1	1	0	вперед потом метнулось
1	1	0	въ комнату метнулась
1	1	0	до предела метнулся
1	1	0	за бок метнулся
1	1	0	за волосы метнулся
1	1	0	за голову метнулась
1	1	0	за дверью метнулся
1	1	0	за ласточками метнулся
1	1	0	за поручнями метнулась
1	1	0	за хозяином метнулась
1	1	0	из глубины метнулась
1	1	0	из двери метнулся
1	1	0	из дула метнулся
1	1	0	из кустов метнулся
1	1	0	из ниши метнулась
1	1	0	из окна метнулась
1	1	0	из осинников метнулся
1	1	0	из подворотен метнулись
1	1	0	из-за камня метнулся
1	1	0	из-за поворота метнулся
1	1	0	из-за прилавка метнулась
1	1	0	из-под копыт метнулась
1	1	0	из-под ног метнулось
1	1	0	изъ толпы метнулась
1	1	0	к блюду метнулись
1	1	0	к власовцам метнется
1	1	0	к возлюбленной метнулся
1	1	0	к вольдемарову метнулась
1	1	0	к горлу метнулись
1	1	0	к земле метнулся
1	1	0	к карете метнулась
1	1	0	к кобылке метнулся
1	1	0	к окну метнулась
1	1	0	к порогу метнулась
1	1	0	к пульту метнулся
1	1	0	к столу метнулся
1	1	0	къ тарантасу метнулся
1	1	0	на войска метнулся
1	1	0	на глаза метнулась
1	1	0	на голову метнулся
1	1	0	на двор метнулась
1	1	0	на землю метнулась
1	1	0	на капусте метнулся
1	1	0	на корточках метнулся
1	1	0	на крик метнулись
1	1	0	на крыльце метнулась
1	1	0	на ноги метнулась
1	1	0	на ноги метнулся
1	1	0	на палубу метнулись
1	1	0	на пол метнулась
1	1	0	на пол метнулся
1	1	0	на полу метнулась
1	1	0	на полушубке метнулся
1	1	0	на помощь метнулась
1	1	0	на стене метнулся
1	1	0	на улицу метнулась
1	1	0	на чурбане метнулся
1	1	0	на экране метнулась
1	1	0	на яшкина метнулся
1	1	0	над домами метнулся
90	96	0.26	метнулся в сторону
58	64	0.17	метнулась в сторону
22	24	0.06	метнулся к двери
22	22	0.06	метнулись в сторону
17	17	0.05	метнулась к двери
16	17	0.05	метнулся 
13	13	0.03	метнулась 
12	14	0.04	метнулся к окну
9	9	0.02	метнулся к столу
7	8	0.02	метнулся к выходу
7	8	0.02	метнулась на кухню
7	7	0.02	метнулась к окну
7	7	0.02	метнулась к дверям
6	6	0.02	метнулся в коридор
6	6	0.02	метнулся в угол
5	6	0.02	метнулась в ванную
5	5	0.01	метнулся по комнате
5	5	0.01	метнулась в коридор
5	5	0.01	метнулся в комнату
5	5	0.01	метнулась в сени
4	5	0.01	метнулись в стороны
4	5	0.01	метнулся в кусты
4	4	0.01	метнулся в дверь
4	4	0.01	метнется в сторону
4	4	0.01	метнулась к телефону
4	4	0.01	метнулся по коридору
4	4	0.01	метнулся в прихожую
4	4	0.01	метнулся к телефону
4	4	0.01	метнулось в сторону
