Left context	Center	Punct	Right context	Title	Author	Birthday	Header	Created	Sphere	Type	Topic	Publication	Publ_year	Medium	Ambiguity	Full context
и еще, аки от сна возбуждена, 	метнулася	 	на напастника своего давно сильнаго и	архиепископ Феофан (Прокопович). Слово о состоявшемся между империею Российскою и короною Шведскою мире (1722)	архиепископ Феофан (Прокопович)	1681	Слово о состоявшемся между империею Российскою и короною Шведскою мире	1722	церковно-богословская	слово	политика и общественная жизнь | религия	Избранные произведения русских мыслителей второй половины XVIII в. Том I	1952	книга	омонимия не снята	И как то истинно, что Россия слаба и нага, но и еще, аки от сна возбуждена, метнулася на напастника своего давно сильнаго и уже весьма на вред ея готоваго.
кем-нибудь скамейка заскрыпела, а все и 	метнулись	, 	как полуумные!» 	Н. В. Гоголь. Сорочинская ярмарка (1831-1832)	Н. В. Гоголь	1809	Сорочинская ярмарка	1831-1832	художественная	повесть | цикл		Большая хрестоматия. Русская литература XIX века	2003	книга	омонимия не снята	Под кем-нибудь скамейка заскрыпела, а все и метнулись, как полуумные!» 
не послушался конь: испуганный страшным криком, 	метнулся	 	на сторону, и достал его ружейною	Н. В. Гоголь. Тарас Бульба (1835-1841)	Н. В. Гоголь	1809	Тарас Бульба	1835-1841	художественная	повесть | цикл		Большая хрестоматия. Русская литература XIX века	2003	книга	омонимия не снята	Хотел было поворотить вдруг своего коня лях и стать ему в лицо; но не послушался конь: испуганный страшным криком, метнулся на сторону, и достал его ружейною пулею Кукубенко.
всё бешеное стадо, испуганное криком, и 	метнулось	 	на ляшские «полки, опрокинуло конницу, всех	Н. В. Гоголь. Тарас Бульба (1835-1841)	Н. В. Гоголь	1809	Тарас Бульба	1835-1841	художественная	повесть | цикл		Большая хрестоматия. Русская литература XIX века	2003	книга	омонимия не снята	Поворотилось назад всё бешеное стадо, испуганное криком, и метнулось на ляшские «полки, опрокинуло конницу, всех смяло и рассыпало.
Горковенко 	метнулся	 	за кулисы, но чуть было не	Д. В. Григорович. Капельмейстер Сусликов (1848)	Д. В. Григорович	1822	Капельмейстер Сусликов	1848	художественная	повесть		Д. В. Григорович. Избранные сочинения	1954	книга	омонимия не снята	Горковенко метнулся за кулисы, но чуть было не шлепнулся со всего размаху, столкнувшись с Сусликовым, который в страшных попыхах бежал на сцену.
уж человек, коли прямо на него 	метнулся	...		А. А. Потехин. Шуба овечья ― душа человечья (1854)	А. А. Потехин	1829	Шуба овечья ― душа человечья	1854	художественная	пьеса		Сочинения А. А. Потехина. Том девятый. Драмы и комедии	1905	книга	омонимия не снята	Видно, уж человек, коли прямо на него метнулся...
Он 	метнулся	 	со всех ног и схватил метлу.	Д. В. Григорович. Переселенцы (1855-1856)	Д. В. Григорович	1822	Переселенцы	1855-1856	художественная	роман		Д. В. Григорович. Избранные сочинения	1954	книга	омонимия не снята	Он метнулся со всех ног и схватил метлу.
необыкновенную; она выскочила на улицу, потом 	метнулась	 	к барскому дому, снова вернулась на	Д. В. Григорович. Переселенцы (1855-1856)	Д. В. Григорович	1822	Переселенцы	1855-1856	художественная	роман		Д. В. Григорович. Избранные сочинения	1954	книга	омонимия не снята	Пьяшка остолбенела; но это продолжалось секунду: каждый ее суставчик, каждая жилка получили вдруг прыткость необыкновенную; она выскочила на улицу, потом метнулась к барскому дому, снова вернулась на улицу, прокричала несколько раз сряду: «пожар! 
кой-какъ одѣвшись, не простясь съ архимандритомъ, 	метнулся	 	на крыльцо и вскочилъ на лошадь...	П. И. Мельников-Печерский. Старые годы. V. Въ монастырѣ // «Русский вестник», 1857	П. И. Мельников-Печерский	1818	Старые годы. V. Въ монастырѣ	1857	художественная	рассказ		«Русский вестник»	1857	журнал	омонимия не снята	И, кой-какъ одѣвшись, не простясь съ архимандритомъ, метнулся на крыльцо и вскочилъ на лошадь...
Клык наострит, слышь, да и 	метнется	 	за волком вдогонку, отбежит, знаешь, немного	C. В. Максимов. Из книги «Лесная глушь». Том 1 (1859)	C. В. Максимов	1831	Из книги «Лесная глушь». Том 1	1859	публицистика	очерк	частная жизнь	Максимов С. В. Избранное	1981	книга	омонимия не снята	Клык наострит, слышь, да и метнется за волком вдогонку, отбежит, знаешь, немного, а себя-таки помнит; сейчас и назад и опять задом в артель вотрется.
как за каждым вопросом хочет куда-то 	метнуться	.		Н. С. Лесков. Житие одной бабы (1863)	Н. С. Лесков	1831	Житие одной бабы	1863	художественная	повесть		Лесков Н. С. Энциклопедическое собрание сочинений		книга	омонимия не снята	Повторяет все это и из стороны в сторону качается, будто как за каждым вопросом хочет куда-то метнуться.
