Тексты	Вхождения	ipm	Фрагмент
5	5	0.01	с ревом ринулся
2	2	0.01	на друга ринулись
2	2	0.01	с ликованием ринулись
2	2	0.01	с шумом ринулись
2	2	0.01	в москву ринулись
2	2	0.01	с воем ринулась
2	2	0.01	с энтузиазмом ринулся
2	2	0.01	с восторгом ринулись
2	2	0.01	в ужасе ринулся
2	2	0.01	с гиком ринулись
2	2	0.01	с ног ринулись
1	1	0	в бешенстве ринулся
1	1	0	в биологию ринулись
1	1	0	в бой ринулись
1	1	0	в бой ринулось
1	1	0	в воду ринулся
1	1	0	в войну ринулся
1	1	0	в галицию ринулось
1	1	0	в готовности ринуться
1	1	0	в двери ринулись
1	1	0	в движение ринулись
1	1	0	в долину ринутся
1	1	0	в зале ринулось
1	1	0	в иркутске ринулась
1	1	0	в китай ринулись
1	1	0	в комнате ринулись
1	1	0	в коридор ринулись
1	1	0	в крым ринулись
1	1	0	в лаву ринулся
1	1	0	в море ринулись
1	1	0	в новгород ринулся
1	1	0	в ночнушке ринулась
1	1	0	в океан ринулись
1	1	0	в омут ринулся
1	1	0	в отделение ринулась
1	1	0	в отчаянии ринулся
1	1	0	в отчаянии ринуться
1	1	0	в отчаяньи ринулся
1	1	0	в палермо ринулись
1	1	0	в панике ринулось
1	1	0	в перерыве ринулись
1	1	0	в плечи ринулся
1	1	0	в полдень ринулась
1	1	0	в попонах ринулись
1	1	0	в припрыжку ринулся
1	1	0	в прихожей ринулся
1	1	0	в пропасть ринуться
1	1	0	в прорыв ринулись
1	1	0	в руках ринулась
1	1	0	в руках ринулся
1	1	0	в руке ринулся
1	1	0	в салон ринулся
1	1	0	в смотрители ринулись
1	1	0	в смятении ринулись
1	1	0	в сопротивление ринулся
1	1	0	в сторону ринулся
1	1	0	в туман ринулись
1	1	0	в ужасе ринулась
1	1	0	в хомут ринулся
1	1	0	в чикаго ринулись
1	1	0	в школу ринулся
1	1	0	в школы ринутся
1	1	0	в ярости ринулись
1	1	0	вместо рогов ринулся
1	1	0	вместо солнце ринулось
1	1	0	во двор ринулся
1	1	0	для начала ринулись
1	1	0	для неприятеля ринется
1	1	0	до отчаянья ринулись
1	1	0	за аристократией ринулись
1	1	0	за волосы ринулся
1	1	0	за границу ринулся
1	1	0	за дамой ринулся
1	1	0	за кометой ринулся
1	1	0	за кулисы ринулась
1	1	0	за машу ринулся
1	1	0	за месяцем ринуться
1	1	0	за науку ринуться
1	1	0	из автобуса ринулись
1	1	0	из бочки ринулся
1	1	0	из ванной ринулась
1	1	0	из дыры ринулась
1	1	0	из дьярв ринулась
1	1	0	из комендатуры ринулся
1	1	0	из кратера ринулась
1	1	0	из магнетизеров ринулся
1	1	0	из москвы ринулись
1	1	0	из парка ринулась
1	1	0	из питера ринулась
1	1	0	из помоек ринется
1	1	0	из ревности ринулась
1	1	0	из ямы ринулась
1	1	0	из-под сыра ринулись
1	1	0	к васятке ринулось
1	1	0	к винтовкам ринулись
1	1	0	к дверям ринулось
1	1	0	к доске ринулся
1	1	0	к доспехам ринулась
1	1	0	к животу ринулся
1	1	0	к кровати ринулась
21	21	0.06	ринуться в бой
20	20	0.05	ринулся в бой
19	19	0.05	ринулся к двери
14	14	0.04	ринулся к нему
13	13	0.03	ринулись в атаку
10	10	0.03	ринулись в бой
10	10	0.03	ринулся в воду
