Left context	Center	Punct	Right context	Title	Author	Birthday	Header	Created	Sphere	Type	Topic	Publication	Publ_year	Medium	Ambiguity	Full context
ногах своих, почему, пришед на квартиру, 	ринулся	 	прямо на кровать и спал в	А. Т. Болотов. Жизнь и приключения Андрея Болотова, описанные самим им для своих потомков. Письма 91-96 (1800)	А. Т. Болотов	1738	Жизнь и приключения Андрея Болотова, описанные самим им для своих потомков. Письма 91-96	1800	публицистика	мемуары		Путь к трону: История дворцового переворота 28 июня 1762 года	1997	книга	омонимия не снята	По сделанной отвычке от верховой езды и от многого в сей день скаканья, так я устал, что насилу стоял на ногах своих, почему, пришед на квартиру, ринулся прямо на кровать и спал в ту ночь как убитый.
жителю степей африканских, собрав дружину крепкую, 	ринулся	 	в средину воинства противного.	В. Т. Нарежный. Славенские вечера (1809)	В. Т. Нарежный	1780	Славенские вечера	1809	художественная	рассказ | цикл		В. Т. Нарежный. Избранное	1983	книга	омонимия не снята	наконец Буривой, подобно тигру, жителю степей африканских, собрав дружину крепкую, ринулся в средину воинства противного.
вдруг одно, провизжав мимо самого уха, 	ринулось	 	в землю у самых ног моей	Ф. Н. Глинка. Письма русского офицера о Польше, Австрийских владениях, Пруссии и Франции, с подробным описанием отечественной и заграничной войны с 1812 по 1814 год (1812-1817)	Ф. Н. Глинка	1786	Письма русского офицера о Польше, Австрийских владениях, Пруссии и Франции, с подробным описанием отечественной и заграничной войны с 1812 по 1814 год	1812-1817	публицистика	дневник, записные книжки	политика и общественная жизнь | история	Глинка Ф. Письма русского офицера о Польше, Австрийских владениях, Пруссии и Франции, с подробным описанием Отечественной и заграничной войны с 1812 по 1814 год. М., 1870	1870	книга	омонимия не снята	Я слышал шепенье множества ядер, как вдруг одно, провизжав мимо самого уха, ринулось в землю у самых ног моей лошади! 
своему отечеству, то, вместо того чтоб 	ринуться	 	в блеск и разврат Парижа, они	Ф. Н. Глинка. Письма русского офицера о Польше, Австрийских владениях, Пруссии и Франции, с подробным описанием отечественной и заграничной войны с 1812 по 1814 год (1812-1817)	Ф. Н. Глинка	1786	Письма русского офицера о Польше, Австрийских владениях, Пруссии и Франции, с подробным описанием отечественной и заграничной войны с 1812 по 1814 год	1812-1817	публицистика	дневник, записные книжки	политика и общественная жизнь | история	Глинка Ф. Письма русского офицера о Польше, Австрийских владениях, Пруссии и Франции, с подробным описанием Отечественной и заграничной войны с 1812 по 1814 год. М., 1870	1870	книга	омонимия не снята	Если б дети богатых наших, господ ездили путешествовать единственно для пользы себе и своему отечеству, то, вместо того чтоб ринуться в блеск и разврат Парижа, они заезжали б в эти горы.
с добродетельною супругою и, ослепленный мечтами, 	ринулся	 	во французскую службу.	Ф. Н. Глинка. Письма русского офицера о Польше, Австрийских владениях, Пруссии и Франции, с подробным описанием отечественной и заграничной войны с 1812 по 1814 год (1812-1817)	Ф. Н. Глинка	1786	Письма русского офицера о Польше, Австрийских владениях, Пруссии и Франции, с подробным описанием отечественной и заграничной войны с 1812 по 1814 год	1812-1817	публицистика	дневник, записные книжки	политика и общественная жизнь | история	Глинка Ф. Письма русского офицера о Польше, Австрийских владениях, Пруссии и Франции, с подробным описанием Отечественной и заграничной войны с 1812 по 1814 год. М., 1870	1870	книга	омонимия не снята	Он развелся с добродетельною супругою и, ослепленный мечтами, ринулся во французскую службу.
генерал, не занимаясь пустою перепалкою стрелков, 	ринулся	 	с гор густыми толпами, то, конечно	Ф. Н. Глинка. Письма русского офицера о Польше, Австрийских владениях, Пруссии и Франции, с подробным описанием отечественной и заграничной войны с 1812 по 1814 год (1812-1817)	Ф. Н. Глинка	1786	Письма русского офицера о Польше, Австрийских владениях, Пруссии и Франции, с подробным описанием отечественной и заграничной войны с 1812 по 1814 год	1812-1817	публицистика	дневник, записные книжки	политика и общественная жизнь | история	Глинка Ф. Письма русского офицера о Польше, Австрийских владениях, Пруссии и Франции, с подробным описанием Отечественной и заграничной войны с 1812 по 1814 год. М., 1870	1870	книга	омонимия не снята	Если б французский генерал, не занимаясь пустою перепалкою стрелков, ринулся с гор густыми толпами, то, конечно, пробил путь в Австрию.
хотел купить, и целая толпа продавцов 	ринулась	 	ко мне с печатным товаром.	Ф. Н. Глинка. Письма русского офицера о Польше, Австрийских владениях, Пруссии и Франции, с подробным описанием отечественной и заграничной войны с 1812 по 1814 год (1812-1817)	Ф. Н. Глинка	1786	Письма русского офицера о Польше, Австрийских владениях, Пруссии и Франции, с подробным описанием отечественной и заграничной войны с 1812 по 1814 год	1812-1817	публицистика	дневник, записные книжки	политика и общественная жизнь | история	Глинка Ф. Письма русского офицера о Польше, Австрийских владениях, Пруссии и Франции, с подробным описанием Отечественной и заграничной войны с 1812 по 1814 год. М., 1870	1870	книга	омонимия не снята	Заглавие мне показалось любопытным, я хотел купить, и целая толпа продавцов ринулась ко мне с печатным товаром.
отвечали сотни храбрых и 	ринулись	 	вперед сквозь тучи пуль и картечи.	И. И. Лажечников. Походные записки русского офицера (1814)	И. И. Лажечников	1790	Походные записки русского офицера	1814	публицистика	дневник, записные книжки	армия и вооруженные конфликты | путешествия | искусство и культура		1820	книга	омонимия не снята	отвечали сотни храбрых и ринулись вперед сквозь тучи пуль и картечи.
дружины его сошла с коней и 	ринулась	 	в город; а с нею и	Н. М. Карамзин. История государства Российского: Том 8 (1815-1820)	Н. М. Карамзин	1766	История государства Российского: Том 8	1815-1820	учебно-научная | публицистика	монография	история | наука и технологии			книга	омонимия не снята	Половина отборной двадцатитысячной дружины его сошла с коней и ринулась в город; а с нею и вельможные старцы, рядом с их юными сыновьями.
Воротынский, кинув укрепления бесполезные, 	ринулся	 	за неприятелем, гнал его по пятам	Н. М. Карамзин. История государства Российского: Том 9 (1816-1820)	Н. М. Карамзин	1766	История государства Российского: Том 9	1816-1820	учебно-научная | публицистика	монография	история | наука и технологии			книга	омонимия не снята	Воротынский, кинув укрепления бесполезные, ринулся за неприятелем, гнал его по пятам, настиг, остановил, принудил к битве 1 августа, в пятидесяти верстах от столицы, у Воскресения в Молодях.
