Тексты	Вхождения	ipm	Фрагмент
2	2	0.01	со свистом рванулся
2	2	0.01	с яростью рванулись
4	4	0.01	с места рванулся
3	3	0.01	с криком рванулся
2	2	0.01	с криком рванулась
2	2	0.01	с крестом рванулся
3	3	0.01	к мечам рванулись
2	2	0.01	из плена рванулся
2	2	0.01	без удержу рванулась
2	2	0.01	с силой рванулась
2	2	0.01	с силой рванулся
2	2	0.01	из толпы рванулся
2	2	0.01	с места рванулась
2	2	0.01	из-под колес рванулась
2	2	0.01	с ходу рванулся
2	2	0.01	в грудь рванулась
1	1	0	в отчаянии рванулся
1	1	0	в панике рванулась
1	1	0	в партере рванулся
1	1	0	в пурге рванулись
1	1	0	в рубахе рванулся
1	1	0	в руке рванулся
1	1	0	в снегу рванулась
1	1	0	в сторону рванется
1	1	0	в тьму рванулись
1	1	0	в шубе рванулся
1	1	0	в ярости рванулся
1	1	0	вперед судно рванулось
1	1	0	впереди пламя рванулось
1	1	0	для дела рванулся
1	1	0	за ветряком рванулась
1	1	0	за ворот рванулся
1	1	0	за домами рванулся
1	1	0	за кормщиком рванулся
1	1	0	за палец рванулся
1	1	0	за сашей рванулась
1	1	0	за столом рванулся
1	1	0	из загона рванется
1	1	0	из зелени рванулась
1	1	0	из конфорки рванулось
1	1	0	из кухни рванутся
1	1	0	из президиума рванулся
1	1	0	из шлангов рванулась
1	1	0	из щели рванулись
1	1	0	из щели рванулся
1	1	0	из-за высот рванулись
1	1	0	из-под колес рванулись
1	1	0	из-под ног рванулся
1	1	0	изо рта рванулись
1	1	0	к власти рванулся
1	1	0	к импресарио рванулись
1	1	0	к кошенову рванулся
1	1	0	к маме рванулась
1	1	0	к плечу рванулся
1	1	0	к сергею рванулся
1	1	0	к счастью рванулся
1	1	0	на бьюике рванулись
1	1	0	на голос рванулись
1	1	0	на дыбы рванулась
1	1	0	на дыбы рванулся
1	1	0	на крик рванулся
1	1	0	на крыльце рванулся
1	1	0	на место рванулась
1	1	0	на ноги рванулся
1	1	0	на носу рванулись
1	1	0	на пиле рванулся
1	1	0	на привязи рванулись
1	1	0	на спину рванулся
1	1	0	на фонарь рванулся
1	1	0	на цыпочках рванулся
1	1	0	на четвереньках рванулся
1	1	0	над головой рванулся
1	1	0	назад франция рванулась
1	1	0	о веревке рванулся
1	1	0	о наташе рванулся
1	1	0	от бессилия рванулся
1	1	0	от боли рванулась
1	1	0	от боли рванулось
1	1	0	от взморья рванулся
1	1	0	от восторга рванулись
1	1	0	от гнева рванулся
1	1	0	от детонации рванулись
1	1	0	от лунина рванулся
1	1	0	от магнита рванулся
1	1	0	от мишки рванулся
1	1	0	от стола рванулись
1	1	0	от страха рванулся
1	1	0	по воздуху рванулись
1	1	0	по залам рванулся
1	1	0	по кирша рванулся
1	1	0	по привычке рванулся
1	1	0	по пробке рванулся
1	1	0	по руке рванулся
1	1	0	по сигналу рванулись
1	1	0	по склону рванется
1	1	0	по сугробу рванулся
1	1	0	по щеке рванулись
1	1	0	под бешмет рванулась
36	39	0.1	рванулся в сторону
29	31	0.08	рванулся с места
26	26	0.07	рванулась с места
22	24	0.06	рванулся к двери
18	19	0.05	рванулась в сторону
15	15	0.04	рванулась к двери
9	9	0.02	рванулся к выходу
9	9	0.02	рванулся к столу
8	8	0.02	рванулся из рук
7	7	0.02	рванулись с места
5	5	0.01	рванулись в сторону
5	5	0.01	рванулся со стула
5	5	0.01	рванулся к телефону
5	5	0.01	рванулся в комнату
5	5	0.01	рванулся к окну
4	4	0.01	рванулась к выходу
4	4	0.01	рванулась к окну
4	4	0.01	рванулся в коридор
4	4	0.01	рванулся к дверям
3	3	0.01	рванулась в ту
3	3	0.01	рванулась на берег
3	3	0.01	рванулась из рук
3	3	0.01	рванулся в темноту
3	3	0.01	рванулась с постели
3	3	0.01	рванулась в комнату
3	3	0.01	рванулся на свободу
3	3	0.01	рвануться с места
2	3	0.01	рванулись в атаку
2	2	0.01	рвануться в бой
2	2	0.01	рванулось с места
2	2	0.01	рванулся вперед шура
2	2	0.01	рванулась к дверям
2	2	0.01	рванулись по дороге
2	2	0.01	рванулся к матери
2	2	0.01	рванулся к машине
2	2	0.01	рванулся на выручку
2	2	0.01	рванулся в атаку
2	2	0.01	рванулся на дорогу
2	2	0.01	рванулась в дверь
2	2	0.01	рванулся в ванную
2	2	0.01	рванулся к мячу
2	2	0.01	рванулись с мест
2	2	0.01	рванулся на помощь
2	2	0.01	рванулись в стороны
2	2	0.01	рванулся из ворот
2	2	0.01	рванулся на улицу
2	2	0.01	рванулся к девушке
2	2	0.01	рванулся к отцу
2	2	0.01	рванулся в избу
2	2	0.01	рванулся из завала
2	2	0.01	рванулся в кабинет
2	2	0.01	рванулся из землянки
2	2	0.01	рванулся к жене
2	2	0.01	рванулся из комнаты
2	2	0.01	рванулся в небо
2	2	0.01	рванулась на высоту
2	2	0.01	рванулось в сторону
2	2	0.01	рванулась на землю
2	2	0.01	рванулся с койки
2	2	0.01	рванулся с колен
2	2	0.01	рванулся к тому
2	2	0.01	рванулся из-за стола
2	2	0.01	рванулась на кухню
2	2	0.01	рванулся к кровати
2	2	0.01	рванулся к человеку
2	2	0.01	рванулась в коридор
2	2	0.01	рванулась с крыльца
2	2	0.01	рванулись в небо
2	2	0.01	рванулся к экскурсоводу
2	2	0.01	рванулась к постели
1	2	0.01	рванулся к земле
1	2	0.01	рванулись к тысячам
1	2	0.01	рванулся с дивана
1	1	0	рванулась к лестнице
1	1	0	рванулась к марии
1	1	0	рванулась к машине
1	1	0	рванулась к мельнице
1	1	0	рванулась к метрдотелю
1	1	0	рванулась к морю
1	1	0	рванулась к моте
1	1	0	рванулась к небу
1	1	0	рванулась к независимости
1	1	0	рванулась к никитину
1	1	0	рванулась к обрыву
1	1	0	рванулась к парку
1	1	0	рванулась к пацану
1	1	0	рванулась к печке
1	1	0	рванулась к подоконнику
1	1	0	рванулась к полке
1	1	0	рванулась к приемнику
1	1	0	рванулась к прогрессу
1	1	0	рванулась к ребенку
1	1	0	рванулась к ромео
1	1	0	рванулась к саше
1	1	0	рванулась к слесарю
