Left context	Center	Punct	Right context	Title	Author	Birthday	Header	Created	Sphere	Type	Topic	Publication	Publ_year	Medium	Ambiguity	Full context
скоро увидел его почти бесчувственный Ахаль, 	рванулся	 	из наших рук и пришел в	М. Д. Чулков. Пригожая повариха, или Похождение развратной женщины (1770)	М. Д. Чулков	1740	Пригожая повариха, или Похождение развратной женщины	1770	художественная	повесть					омонимия не снята	Как скоро увидел его почти бесчувственный Ахаль, рванулся из наших рук и пришел в ужасное исступление; бился он и рвался, кричал, сколько силы его дозволили, и походил совсем на сумасшедшего.
она за ключ в дверном замке, 	рванулась	, 	как сноп повалилась на стоявших на	В. Т. Нарежный. Российский Жилблаз, или Похождения князя Гаврилы Симоновича Чистякова (1814)	В. Т. Нарежный	1780	Российский Жилблаз, или Похождения князя Гаврилы Симоновича Чистякова	1814	художественная	роман		В. Т. Нарежный. Собрание сочинений в 2 томах. Т.1	1983	книга	омонимия не снята	Она бросилась к ним, но грех ее попутал: большим карманом своим зацепилась она за ключ в дверном замке, рванулась, как сноп повалилась на стоявших на коленях, и все покатились.
возить на себе кого-либо, озлился, зарычал, 	рванулся	, 	и бедная госпожа покатилась кубарем на	В. Т. Нарежный. Российский Жилблаз, или Похождения князя Гаврилы Симоновича Чистякова (1814)	В. Т. Нарежный	1780	Российский Жилблаз, или Похождения князя Гаврилы Симоновича Чистякова	1814	художественная	роман		В. Т. Нарежный. Собрание сочинений в 2 томах. Т.1	1983	книга	омонимия не снята	Но жестокий медиоланец, конечно не привыкший возить на себе кого-либо, озлился, зарычал, рванулся, и бедная госпожа покатилась кубарем на землю.
державшийся за демонский хвост, так сильно 	рванулся	, 	уклоняясь от бесовской пощечины, что хвост	В. Т. Нарежный. Российский Жилблаз, или Похождения князя Гаврилы Симоновича Чистякова (1814)	В. Т. Нарежный	1780	Российский Жилблаз, или Похождения князя Гаврилы Симоновича Чистякова	1814	художественная	роман		В. Т. Нарежный. Собрание сочинений в 2 томах. Т.1	1983	книга	омонимия не снята	А сверх того, упрямый драгун, державшийся за демонский хвост, так сильно рванулся, уклоняясь от бесовской пощечины, что хвост лопнул – и оба соперника повалились на пол.
Быстрее луча молнии 	рванулся	 	я вперед, и меч неприятеля отлетел	В. Т. Нарежный. Бурсак (1822)	В. Т. Нарежный	1780	Бурсак	1822	художественная	роман		В. Т. Нарежный. Собрание сочинений в 2 томах. Т.2	1983	книга	омонимия не снята	Быстрее луча молнии рванулся я вперед, и меч неприятеля отлетел далеко вместе с рукою; я ударил плашмя супостата и низверг на землю, 
меня за руку, но я сурово 	рванулась	, 	отскочила назад и ушла прочь.	В. Т. Нарежный. Гаркуша, малороссийский разбойник (1825)	В. Т. Нарежный	1780	Гаркуша, малороссийский разбойник	1825	художественная	роман		В. Т. Нарежный. Избранное	1983	книга	омонимия не снята	После сих благопристойных речей он с наглостью схватил меня за руку, но я сурово рванулась, отскочила назад и ушла прочь.
в глаза пугливых коней; кони всполохнулись, 	рванулись	 	и, не чуя вожжей кучера, бросились	О. М. Сомов. Юродивый (1827)	О. М. Сомов	1793	Юродивый	1827	художественная	повесть		О. М. Сомов. Были и небылицы	1984	книга	омонимия не снята	Вдруг, на повороте около одного оврага, что-то черное, лежавшее почти на самой дороге, мелькнуло в глаза пугливых коней; кони всполохнулись, рванулись и, не чуя вожжей кучера, бросились в сторону с большой дороги, по рытвинам и кочкам.
прямо в сердце запорожца, по Кирша 	рванулся	 	назад, и разбойник, захрипев, упал мертвый	М. Н. Загоскин. Юрий Милославский, или русские в 1612 году (1829)	М. Н. Загоскин	1789	Юрий Милославский, или русские в 1612 году	1829	художественная	роман		М. Н. Загоскин. Юрий Милославский, или русские в 1612 году	1983	книга	омонимия не снята	Омляш вскрикнул, хотел опустить нож, направленный прямо в сердце запорожца, по Кирша рванулся назад, и разбойник, захрипев, упал мертвый на землю.
на коренную, та завизжала и страшно 	рванулась	 	в сторону.	Ф. Н. Глинка. Записка Ф. Н. Глинки о магнетизме (1830)	Ф. Н. Глинка	1786	Записка Ф. Н. Глинки о магнетизме	1830	публицистика	очерк	астрология, парапсихология, эзотерика | история | естественные науки	Записка Ф. Н. Глинки о магнетизме. Публ. [вступ. ст. и примеч.] В. М. Боковой. Российский Архив: История Отечества в свидетельствах и документах XVIII–XX вв.: Альманах. – М.: Студия ТРИТЭ: Рос. Архив, 2001. – [Т. XI]. – С. 19–39.	2001	книга	омонимия не снята	Пристяжная взвилась и, попав, как-то заступив одною ногою в оглоблю, обрушилась на коренную, та завизжала и страшно рванулась в сторону.
Кучер ударил по лошадям, они 	рванулись	... 	крак! 	М. Н. Загоскин. Рославлев, или Русские в 1812 году (1830)	М. Н. Загоскин	1789	Рославлев, или Русские в 1812 году	1830	художественная	роман		М. Н. Загоскин. Рославлев, или русские в 1812 году	1980	книга	омонимия не снята	Кучер ударил по лошадям, они рванулись... крак! 
